price,quantity,type,timestamp
38973000,0.0524,0,04/28 17:53:00
38972000,0.0914,0,04/28 17:53:00
38970000,0.0057,0,04/28 17:53:00
38968000,0.0455,0,04/28 17:53:00
38967000,0.1368,0,04/28 17:53:00
38981000,0.0514,1,04/28 17:53:00
38982000,0.0845,1,04/28 17:53:00
38987000,0.0834,1,04/28 17:53:00
38989000,0.0629,1,04/28 17:53:00
38991000,1.261,1,04/28 17:53:00
38973000,0.0524,0,04/28 17:53:01
38972000,0.1799,0,04/28 17:53:01
38970000,0.0057,0,04/28 17:53:01
38968000,0.0455,0,04/28 17:53:01
38967000,0.1368,0,04/28 17:53:01
38981000,0.0514,1,04/28 17:53:01
38987000,0.0834,1,04/28 17:53:01
38989000,0.0629,1,04/28 17:53:01
38991000,1.261,1,04/28 17:53:01
38992000,0.0659,1,04/28 17:53:01
38976000,0.0622,0,04/28 17:53:02
38975000,0.0936,0,04/28 17:53:02
38973000,0.0524,0,04/28 17:53:02
38972000,0.1186,0,04/28 17:53:02
38970000,0.0449,0,04/28 17:53:02
38991000,1.1901,1,04/28 17:53:02
38992000,0.1132,1,04/28 17:53:02
38994000,0.1391,1,04/28 17:53:02
38995000,0.0617,1,04/28 17:53:02
38996000,0.0047,1,04/28 17:53:02
38976000,0.0622,0,04/28 17:53:03
38975000,0.0936,0,04/28 17:53:03
38973000,0.0524,0,04/28 17:53:03
38972000,0.1186,0,04/28 17:53:03
38970000,0.0449,0,04/28 17:53:03
38989000,0.0891,1,04/28 17:53:03
38991000,1.2504,1,04/28 17:53:03
38992000,0.1132,1,04/28 17:53:03
38994000,0.1391,1,04/28 17:53:03
38996000,0.0047,1,04/28 17:53:03
38976000,0.0622,0,04/28 17:53:04
38975000,0.0936,0,04/28 17:53:04
38973000,0.0524,0,04/28 17:53:04
38972000,0.1186,0,04/28 17:53:04
38970000,0.0057,0,04/28 17:53:04
38989000,0.0891,1,04/28 17:53:04
38991000,1.2504,1,04/28 17:53:04
38992000,0.1224,1,04/28 17:53:04
38994000,0.1391,1,04/28 17:53:04
38995000,0.0395,1,04/28 17:53:04
38964000,0.0482,0,04/28 17:53:05
38963000,0.0952,0,04/28 17:53:05
38960000,0.0859,0,04/28 17:53:05
38958000,0.0002,0,04/28 17:53:05
38956000,0.0595,0,04/28 17:53:05
38975000,0.1893,1,04/28 17:53:05
38976000,0.0121,1,04/28 17:53:05
38980000,0.0617,1,04/28 17:53:05
38982000,0.0569,1,04/28 17:53:05
38985000,0.0489,1,04/28 17:53:05
38959000,0.0651,0,04/28 17:53:06
38958000,0.0002,0,04/28 17:53:06
38957000,0.0894,0,04/28 17:53:06
38956000,0.0595,0,04/28 17:53:06
38955000,0.05,0,04/28 17:53:06
38973000,0.0876,1,04/28 17:53:06
38975000,0.1893,1,04/28 17:53:06
38976000,0.0054,1,04/28 17:53:06
38977000,0.148,1,04/28 17:53:06
38978000,0.104,1,04/28 17:53:06
38959000,0.0651,0,04/28 17:53:07
38958000,0.0002,0,04/28 17:53:07
38957000,0.0894,0,04/28 17:53:07
38956000,0.0595,0,04/28 17:53:07
38955000,0.05,0,04/28 17:53:07
38973000,0.1501,1,04/28 17:53:07
38975000,0.1893,1,04/28 17:53:07
38976000,0.0054,1,04/28 17:53:07
38977000,0.148,1,04/28 17:53:07
38978000,0.104,1,04/28 17:53:07
38959000,0.0651,0,04/28 17:53:08
38958000,0.0002,0,04/28 17:53:08
38957000,0.0894,0,04/28 17:53:08
38956000,0.0595,0,04/28 17:53:08
38955000,0.05,0,04/28 17:53:08
38973000,0.1501,1,04/28 17:53:08
38975000,0.1893,1,04/28 17:53:08
38976000,0.0054,1,04/28 17:53:08
38977000,0.148,1,04/28 17:53:08
38978000,0.104,1,04/28 17:53:08
38959000,0.0651,0,04/28 17:53:10
38958000,0.0002,0,04/28 17:53:10
38957000,0.0894,0,04/28 17:53:10
38956000,0.0595,0,04/28 17:53:10
38955000,0.05,0,04/28 17:53:10
38973000,0.1501,1,04/28 17:53:10
38975000,0.1893,1,04/28 17:53:10
